id_cliente,genero,edad,es_senior,tiene_pareja,tiene_dependientes,meses_antiguedad,servicio_telefono,servicio_internet,soporte_tecnico,tipo_contrato,metodo_pago,factura_electronica,cargo_mensual,cargo_total,tickets_soporte,churn,churn_label
CLI-00000,Masculino,68,1,Si,No,37,Si,DSL,No,Bianual,Cheque electronico,Si,75.62,3010.42,3,0,No
CLI-00001,Femenino,64,0,Si,No,41,No,Fibra optica,No,Bianual,Cheque por correo,No,33.77,1444.74,0,0,No
CLI-00002,Masculino,64,0,Si,No,25,Si,No,Si,Bianual,Tarjeta credito,Si,57.48,1448.55,0,0,No
CLI-00003,Masculino,21,0,No,No,8,Si,Fibra optica,No,Bianual,Transferencia bancaria,No,28.26,236.7,2,0,No
CLI-00004,Masculino,24,0,Si,No,18,No,Fibra optica,No,Mensual,Tarjeta credito,Si,68.65,1350.53,1,1,Si
CLI-00005,Femenino,62,0,Si,Si,68,Si,Fibra optica,No,Mensual,Cheque por correo,Si,114.64,7877.67,2,1,Si
CLI-00006,Masculino,52,0,No,No,48,Si,DSL,No,Mensual,Transferencia bancaria,No,52.57,2551.29,1,1,Si
CLI-00007,Masculino,65,1,No,No,70,Si,No,No,Mensual,Transferencia bancaria,Si,23.07,1607.99,0,1,Si
CLI-00008,Masculino,26,0,Si,No,67,Si,Fibra optica,No,Bianual,Cheque por correo,No,80.09,5437.52,0,0,No
CLI-00009,Femenino,25,0,No,No,18,Si,Fibra optica,No,Anual,Tarjeta credito,Si,82.74,1529.58,1,1,Si
CLI-00010,Masculino,69,1,Si,Si,18,Si,DSL,No,Anual,Cheque electronico,Si,66.92,1133.32,1,0,No
CLI-00011,Masculino,62,0,Si,Si,56,Si,Fibra optica,No,Mensual,Cheque electronico,No,58.48,3319.44,1,0,No
CLI-00012,Masculino,34,0,Si,Si,23,Si,Fibra optica,Si,Mensual,Cheque electronico,No,109.05,2264.09,3,0,No
CLI-00013,Masculino,34,0,No,No,35,Si,Fibra optica,No,Mensual,Cheque electronico,No,113.72,4328.81,1,0,No
CLI-00014,Femenino,66,1,Si,No,6,Si,Fibra optica,No,Anual,Cheque electronico,No,86.66,471.9,1,1,Si
CLI-00015,Masculino,50,0,Si,No,26,Si,No,No,Bianual,Cheque por correo,Si,69.12,1961.79,1,0,No
CLI-00016,Femenino,49,0,Si,No,61,Si,Fibra optica,No,Bianual,Cheque electronico,Si,24.89,1660.7,1,0,No
CLI-00017,Femenino,25,0,No,No,15,Si,Fibra optica,No,Mensual,Tarjeta credito,No,48.71,734.56,0,1,Si
CLI-00018,Femenino,36,0,Si,No,32,Si,No,No,Bianual,Transferencia bancaria,Si,47.08,1456.07,1,0,No
CLI-00019,Masculino,55,0,Si,Si,12,Si,No,No,Mensual,Cheque por correo,No,23.94,269.18,1,0,No
